name,RA,DEC,Period,T1init,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r2,l2/l1,R2
TIC 168005331,152.3240145,-26.63714695,0.71168057,6910,6907.888835,133.7534234,65.42268951,0.705044644,0.240259525,0.031071662,0.175460424,0.025882408,1.005256083,0.004441065,0,0,0.515878518,0.273445061,0.284212982,0.997334652
TIC 198731685,284.5127954,26.08170998,0.714993965,6957.67627,7108.154056,51.15534638,60.0639318,0.310990149,9.436558538,0.282945455,0.23910103,0.008474972,0.777270872,0.00350008,0,0,0.217635336,0.582740207,3.176242044,0.994808036
TIC 216977460,295.7257624,29.36128965,0.415685985,5877.5,5875.230344,141.7552054,47.10816081,2.427193461,1.118563281,0.138932747,0.783778716,0.139651904,0.962558628,0.011374244,0.874299752,0.016428322,0.452832244,0.471452286,0.952061029,0.995567355
TIC 257525627,45.81175976,-23.1866686,0.456310804,6563.5,6732.243129,38.33521197,78.97666661,0.17968109,0.196467899,0.001015452,0.645889251,0.015069109,0.982633752,0.00116964,0,0,0.553612565,0.282939351,0.239481118,0.997932863
TIC 274676647,256.2877704,49.20885496,0.354097735,6338.666504,6373.119728,133.557722,85.74041101,0.705383181,0.292558682,0.00247012,0.190002936,0.018547338,1.027398689,0.001638132,0,0,0.500328767,0.289876247,0.363524428,0.997959696
TIC 276963370,276.5002027,-79.26522502,0.372418284,6057.5,6061.799443,139.6862858,58.65103243,0.378205398,0.310631283,0.03185416,0.122745293,0.016545541,1.010314182,0.004267374,0,0,0.491551058,0.290521936,0.360251875,0.994311042
TIC 287174076,19.04914886,-6.99354486,0.324958404,5319.333496,5413.791958,124.242688,72.91933766,0.50725378,3.178879359,0.265726854,0.084089435,0.011073176,0.916002071,0.002647596,0,0,0.289107578,0.488299649,2.007986898,0.995908808
TIC 376939426,19.38514086,7.891689379,0.336475422,5881,5979.989894,109.9065191,82.25911977,0.170147397,2.842345243,0.01523145,0.305473976,0.009108655,0.967360034,0.000920344,0,0,0.31282599,0.492098019,2.23508792,0.998452872
TIC 377251803,286.2640552,57.12566041,0.571399374,7298.5,7304.329554,118.1818823,48.89375997,0.72997564,4.812743226,0.540966508,0.802169879,0.069532306,0.813888851,0.006830634,0.374774458,0.047576362,0.297201617,0.557558419,1.940665815,0.999367426
TIC 40083136,7.238546682,-8.210490652,0.23578065,5115.666504,5214.875484,120.9269342,67.70739003,0.74933508,4.739060974,0.503021124,0.200680845,0.021573542,0.95228281,0.002138853,0,0,0.264843878,0.527687151,3.271660628,0.992817894
TIC 410392940,166.577361,-18.757759,0.362727244,5952,5960.421878,130.382611,54.57937383,0.276879143,7.583274253,0.446501135,0.138460102,0.019375758,0.921608933,0.003475784,0,0,0.228278417,0.562864605,4.572960731,0.995868343
TIC 418998975,345.0995928,41.12467942,0.276994138,4979.600098,4904.934587,92.89162935,45.80132384,1.069520395,1.597710764,0.297858185,0.616674253,0.139287929,0.831589239,0.013469567,0.683884765,0.041333259,0.394084015,0.474076537,0.613440442,0.997080353
TIC 88465768,46.76261295,-26.04234581,0.526641608,6938.057617,6981.781224,134.5943948,59.20310996,0.13367225,0.272034679,0.009614891,0.528543115,0.020901101,1.036296156,0.001537787,0,0,0.524825254,0.304813537,0.36347178,0.996286256
TIC 9886075,48.8704341,-11.770274,0.353743784,5860.5,5976.11592,80.51059248,63.68978566,0.635375149,5.504288552,0.660102274,0.396108783,0.047496446,0.944559892,0.001375406,0,0,0.26326451,0.547990136,3.624733132,0.995677545
TIC 159981348,241.2141693,53.71981893,0.26161377,5203,5195.676681,141.3639977,84.88916252,0.360059528,1.761864302,0.028289972,0.137036161,0.013372227,0.959470344,0.001913292,0,0,0.34205573,0.44089016,1.40859924,0.996229029
TIC 161825615,239.9388449,59.68894715,0.394291583,5376.149902,5379.053604,144.8801791,47.28208873,2.247046498,3.45092652,1.218910437,0.576633887,0.233884451,0.811327459,0.023942722,0.708268091,0.070727796,0.31374795,0.523133373,1.13307627,0.99557811
TIC 165458777,180.151347,-39.259732,0.29283663,5475.5,5654.457243,23.39847026,85.97536666,0.168003899,2.59240726,0.00832678,0.195172456,0.001135503,0.964178235,0.000767607,0,0,0.313112932,0.477613907,2.053945391,0.99610819
TIC 199497213,198.7551618,21.23158245,0.427611255,6343.622559,6469.150197,75.2317467,57.95179356,0.109932253,0.620326084,0.036977652,0.098441472,0.008970835,0.96373492,0.002523774,0,0,0.430233587,0.346665387,0.576528316,0.997780222
TIC 20212631,227.0380604,39.97024,0.297135386,5590.333496,5761.263292,33.92935433,73.86608107,0.095429984,8.484587016,0.044812523,0.429343557,0.001464248,0.913786092,0.001310317,0,0,0.232202454,0.580898714,4.587175789,0.997149678
TIC 219738202,241.5723634,62.76280269,0.579116312,6904,6751.017613,52.45835968,79.87517345,0.199058698,0.274205411,0.001428137,0.501254596,0.009965965,1.010249191,0.001034431,0,0,0.522710226,0.30378217,0.340106055,0.997879999
TIC 231922739,92.96128237,-45.32906163,0.356329453,5804,5892.703559,73.20386839,89.40696954,0.534747337,2.680034105,0.010940129,0.100312966,0.00374422,0.936147651,0.00079631,0,0,0.303843318,0.474475932,1.931170652,0.996103462
TIC 289370888,278.068073,41.84617887,0.859722345,5775,5908.049502,93.48491094,86.25501612,0.26825697,1.568285813,0.020270238,0.127620412,0.01137276,0.902492817,0.00233883,0,0,0.351520107,0.430203442,1.036995218,0.990260565
TIC 33416807,344.8074413,-8.492377682,0.289759275,5751.899902,5824.114722,122.0805692,86.79669897,0.590305445,1.989423732,0.035024481,0.111165623,0.009914971,0.890293402,0.00254759,0.790669465,0.00171394,0.329511863,0.449402796,1.213554054,0.996540131
TIC 349160488,205.0891224,-23.03400277,0.685953613,6640,6683.909505,124.4276407,57.37256233,0.241026772,0.124376568,0.00376157,0.46850175,0.010394485,1.046548605,0.003267176,0,0,0.578375207,0.237696801,0.190127055,0.997768157
TIC 386952124,239.40124,-32.635033,0.87582746,6100,6210.922811,93.78605206,59.50142176,0.541929344,0.032388055,0.001503008,0.778945744,0.062173927,0.931630774,0.006239897,0,0,0.668716023,0.161036433,0.04423084,0.989462807
TIC 76305215,274.1283607,37.18414666,0.401567195,6469.5,6652.938539,21.36494084,88.52625456,0.32162168,0.272149253,0.000847525,0.106056101,0.006728776,0.982269168,0.000694072,0,0,0.501927346,0.279125003,0.292374328,0.997669421
TIC 121009628,55.5613719,-20.14608195,0.282144828,4893.5,5012.644576,107.7389336,79.39558871,0.226394729,2.445544131,0.054512954,0.120274312,0.006987527,0.933661333,0.001839571,0,0,0.312764164,0.467836665,1.658057043,0.998339591
TIC 142587827,167.8704005,73.11527688,0.439141487,6393.520769,6584.317366,10.83341865,83.87609936,0.136005844,0.155910291,0.000414762,0.493684967,0.007214294,1.001534306,0.000551117,0,0,0.563202353,0.255978881,0.203170887,0.999713193
TIC 143100813,256.8201895,17.42684214,0.387614927,6145.450195,6190.489533,140.0854421,68.61662335,0.437297577,0.3415398,0.032886263,0.191193253,0.017941284,0.996271922,0.001909044,0,0,0.487519098,0.302630726,0.377902458,0.999751454
TIC 250114673,356.103878,-5.777268139,0.328555212,6200.333496,6377.078286,28.9479023,72.34533451,0.123661307,0.096148552,0.00037617,0.461873218,0.01298701,0.993644331,0.000677339,0,0,0.596155009,0.219151589,0.12963688,0.99714899
TIC 271495349,117.715639,3.650932696,0.551154896,6688,6764.536828,127.7471315,86.49707407,0.357437047,0.42661417,0.001768433,0.390074314,0.007772652,0.999352238,0.00088214,0,0,0.482705921,0.33625075,0.477064273,0.998488075
TIC 271958272,295.7166762,43.1646162,0.390636195,5702.850098,5718.872642,131.5535152,60.79319492,0.175286354,1.07942714,0.188651657,0.050271197,0.007911237,0.976753273,0.006255327,0,0,0.377811892,0.391258191,0.985657098,0.995998848
