name,RA,DEC,Period,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r2,l2/l1,R2
TIC 229687624,262.9885266,57.17843194,0.617437463,7544,36,68.58473418,0.046279629,0.792075364,0.010423188,0.246738401,0.004244189,0.977262705,0.000769972,0,0,0.422542724,0.381921479,0.764971891,0.997600325
TIC 101645013,259.5178966,41.84407054,0.471628922,6728,39,66.2845417,0.693751795,0.34077966,0.059370647,0.440836953,0.060612837,1.013387396,0.002270083,0,0,0.503075754,0.319343983,0.411939164,0.999075167
TIC 289166536,277.5686555,41.08567435,0.46897116,6626,144,87.69158094,0.973512074,0.265725657,0.001401295,0.535318569,0.014564403,0.985846799,0.001037936,0,0,0.526886311,0.303134807,0.309391223,0.998915751
TIC 377251803,286.2640552,57.12566041,0.571399374,7396,37,34.22653056,0.854596582,0.979238692,0.019820518,0.928446556,0.092203061,0.902964036,0.004988023,0,0,0.487584186,0.484318231,0.729834988,0.998104966
TIC 316333039,188.2285041,54.79524842,0.824486179,9392,253,73.17016668,0.361321202,0.129760065,0.001692768,0.587676458,0.042388056,0.96846153,0.002082962,0,0,0.579554854,0.245937153,0.161774019,0.998814626
TIC 91606450,88.52140934,15.87948738,0.763229633,6608,28,53.19006128,0.724164171,0.113308771,0.025597904,0.167930584,0.163761259,0.97424782,0.00618744,0,0,0.575561199,0.219376752,0.133198291,0.998904001
TIC 116484192,233.0200857,45.56872995,0.276340043,5644,7,68.80173991,0.913963055,0.305845767,0.047318795,0.15944281,0.031946203,0.945265669,0.002988781,0,0,0.494922852,0.291568013,0.282544951,0.998451191
TIC 141914317,94.903365,-72.033454,0.437477521,6242,56,77.35186001,0.275746578,0.269275604,0.002955872,0.28435986,0.016720703,0.994328278,0.001664085,0,0,0.512188743,0.288839618,0.307835448,0.999461686
TIC 50717816,126.4982859,-6.228882714,0.383411166,6454,22,73.22498449,0.354632413,0.191135304,0.003644264,0.676032385,0.02087016,0.983570095,0.001744632,0,0,0.556878761,0.282211554,0.235087226,0.999512977
TIC 114500611,11.8168185,-19.69547566,0.488597183,6588,7,89.42578609,1.084007009,0.177239724,0.001117656,0.244396788,0.01633164,0.867317296,0.001479727,0,0,0.543517643,0.253916751,0.135732147,0.998715982
TIC 93053299,84.31962499,-23.66116787,0.411003802,5898,9,78.63950996,0.42134315,0.146736302,0.001910016,0.515184691,0.038929661,0.984287907,0.002262728,0,0,0.56834877,0.252237301,0.182247454,0.999204996
TIC 232524483,193.4754737,77.20368892,0.37280973,6384,5,41.74993549,1.219130484,0.148603532,0.023421532,0.753926457,0.172594459,1.036348755,0.010867733,0,0,0.576784631,0.264616764,0.227201817,0.999289056
TIC 250957384,337.7982411,-7.082636332,0.339564346,6005,4,60.15654774,0.478040504,0.100171782,0.007467232,0.437209577,0.05144586,1.012859837,0.001939318,0,0,0.592604955,0.221079199,0.141749901,0.999403593
TIC 441219121,294.6531523,-41.1467486,0.486413184,6360,10,43.42820775,1.069034711,0.106936154,0.022102763,0.788953036,0.165818992,1.060140667,0.011121051,0,0,0.598994192,0.239454554,0.18285467,0.998992008
TIC 13135572,76.73736225,-29.60247048,0.398150263,6075,122,81.92221519,0.249319676,0.472653281,0.008787979,0.167642836,0.0063601,0.966446284,0.000958836,0,0,0.458695339,0.328519297,0.455341765,0.997777605
TIC 77178193,68.59511648,-36.57024753,0.829597446,6479,3,85.01518562,1.23864701,0.098759351,0.001411331,0.324060576,0.049319014,0.925920184,0.004706966,0,0,0.590348401,0.216049365,0.102559718,0.999183358
TIC 180697987,272.0775586,34.57671876,0.291437539,5800,34,78.75381354,0.203881459,0.295599911,0.002574891,0.521557019,0.017106885,0.892625224,0.001088176,0,0,0.518453221,0.311890458,0.234024876,0.994665839
TIC 82224114,150.934449,28.23239376,0.375942544,6248,5,74.71097202,0.089584944,0.339454614,0.003330522,0.306111735,0.004573379,0.96933868,0.000489378,0,0,0.494982925,0.30976581,0.350780034,0.999374369
TIC 381950094,76.68788332,-59.05095994,0.427255075,6301,131,56.03567088,0.263662795,0.197549276,0.016087159,0.584672112,0.0537936,1.00034493,0.002038434,0,0,0.550363384,0.280021041,0.250625894,0.998419219
TIC 377459689,252.100755,17.13323328,0.57521525,7388,35,32.54230789,0.202606535,0.921069486,0.014802602,0.794378012,0.029708262,0.91503868,0.002104388,0,0,0.471323677,0.457712707,0.723930162,0.997158923
TIC 231075361,67.717268,-66.831359,0.319890893,5744,17,39.82738678,2.273706198,0.672396633,0.154825143,0.380539929,0.253618195,0.931512451,0.026780126,0,0,0.447438903,0.378748476,0.552501921,0.995942812
TIC 252096958,15.53818216,59.92862252,1.164730955,6857,114,63.01956068,0.243035666,0.485090418,0.037256731,0.115132342,0.012946237,0.961800748,0.003019888,0,0,0.452759179,0.326779034,0.4615435,0.998141158
TIC 377296926,286.8154753,55.01279265,0.431434972,6368,20,76.55099608,0.328279682,0.179348254,0.002917599,0.752732705,0.038969818,0.977709063,0.002112115,0,0,0.564584309,0.280857034,0.221374463,0.999393731
TIC 322512913,43.27288672,-20.52748576,0.458499707,6777,25,72.25116459,0.463751264,0.152584115,0.002674914,0.230966833,0.034239661,0.902844411,0.00325886,0,0,0.554724622,0.242356337,0.137083771,0.998475933
TIC 431338625,344.110857,52.131725,0.599800479,7643,184,88.50153029,0.776567482,0.518645017,0.00384606,0.887400346,0.012105288,1.017627203,0.00171515,0,0,0.510341173,0.401219718,0.633064535,0.997670081
TIC 68901227,249.6905829,39.38902812,0.275506575,5029,11,58.91691193,0.686754047,0.648204956,0.217521949,0.138864929,0.028695249,0.931574462,0.007516486,0,0,0.429717675,0.353928676,0.51159731,0.999120984
TIC 355601553,357.6892727,-59.54030189,0.429621818,6583,6,30.09070734,0.111475601,0.078550802,0.004351982,0.689707975,0.061679357,0.714588675,0.011520903,0,0,0.615585601,0.21306523,0.034786945,0.99508073
TIC 232449809,93.452051,5.953134,0.500465202,6208,32,73.93903857,0.614820095,0.434188593,0.055813264,0.156060824,0.018686406,0.993527891,0.001508101,0,0,0.46508144,0.320377452,0.463367026,0.999445529
TIC 387463207,42.46787722,8.938122496,0.379998069,6026,20,78.22539616,0.376436326,0.341487899,0.008722784,0.274954223,0.008257302,0.974860609,0.000935657,0,0,0.492599176,0.308186284,0.356019373,0.998355517
TIC 144500485,84.42670105,-41.02327656,0.568764262,6052,37,74.06461051,0.489715724,0.100881941,0.001337044,0.040809454,0.013546111,0.892099559,0.003955823,0,0,0.580767592,0.207374028,0.085930692,0.995642844
TIC 434515577,190.062648,-18.800298,0.316647386,5970,3,61.75244103,0.50076005,0.081828401,0.00476157,0.538663221,0.041574969,1.014320485,0.00212216,0,0,0.609098818,0.210845231,0.122901189,0.999547627
